"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C317","CAP0603N","1456.496mil","672mil","1425mil","672mil","1425mil","672mil","T","0.00","1uF"
"C316","CAP0603N","1456.496mil","864mil","1425mil","864mil","1425mil","864mil","T","0.00","0.1uF"
"C315","CAP0603N","1456.496mil","608mil","1425mil","608mil","1425mil","608mil","T","0.00","0.1uF"
"C314","CAP0603N","540.504mil","1103.502mil","572mil","1103.501mil","572mil","1103.502mil","T","180.00","1uF"
"C313","CAP0603N","540.504mil","1031mil","572mil","1031.001mil","572mil","1031mil","T","180.00","0.47uF"
"C312","CAP0603N","540.504mil","958.5mil","572mil","958.501mil","572mil","958.5mil","T","180.00","0.1uF"
"C311","CAP0603N","108mil","1023.504mil","108mil","1055mil","108mil","1055mil","T","270.00","0.1uF"
"C310","CAP0603N","679mil","632.504mil","679mil","664mil","679mil","664mil","T","270.00","0.1uF"
"C309","CAP0603N","745.572mil","632.504mil","745.571mil","664mil","745.572mil","664mil","T","270.00","0.1uF"
"C307","CAP0603N","993mil","1431.496mil","993mil","1400mil","993mil","1400mil","T","90.00","1uF"
"C306","CAP0603N","862mil","632.504mil","862mil","664mil","862mil","664mil","T","270.00","22pF"
"C305","CAP0603N","1102mil","632.506mil","1102mil","601.01mil","1102mil","601.01mil","T","90.00","22pF"
"C304","CAP0603N","108mil","751.938mil","108mil","783.434mil","108mil","783.434mil","T","270.00","0.1uF"
"C303","CAP0603N","108mil","887.504mil","108mil","919mil","108mil","919mil","T","270.00","0.1uF"
"C302","CAP0603N","108mil","1159.366mil","108mil","1190.862mil","108mil","1190.862mil","T","270.00","0.1uF"
"C123","CAP0603N","720.504mil","2447mil","752.001mil","2447mil","752mil","2447mil","T","180.00","0.1uF"
"C121","CAP0603N","1092.504mil","2068mil","1124mil","2068mil","1124mil","2068mil","B","180.00","1uF"
"C120","CAP0603N","1308.495mil","2139mil","1277mil","2139mil","1276.999mil","2139mil","B","0.00","0.47uF"
"C119","CAP0603N","1092.504mil","2138.998mil","1124mil","2138.998mil","1124mil","2138.998mil","B","180.00","2.2uF"
"C118","CAP0603N","1213mil","2240.496mil","1213mil","2209mil","1213mil","2209mil","B","90.00","0.1uF"
"C117","CAP0603N","1308.495mil","2068.002mil","1276.999mil","2068.002mil","1276.999mil","2068.002mil","B","0.00","1uF"
"C116","CAP0603N","1174.504mil","1909mil","1206mil","1909mil","1206mil","1909mil","B","180.00","0.1uF"
"C115","CAP0603N","1256mil","2609.008mil","1256mil","2577.512mil","1256mil","2577.512mil","T","90.00","0.1uF"
"C101","CAP0603N","1029mil","1688.504mil","1029mil","1720mil","1029mil","1720mil","T","270.00","2.2uF"
"C102","CAP0603N","720.504mil","2081mil","752mil","2081mil","752mil","2081mil","T","180.00","0.1uF"
"C114","CAP0603N","1323mil","2609.008mil","1323mil","2577.512mil","1323mil","2577.512mil","T","90.00","0.47uF"
"C203","CAP0603N","2113.534mil","1628mil","2145.03mil","1628mil","2145.03mil","1628mil","T","180.00","22pF"
"C204","cap0603n","3058mil","1212.494mil","3058mil","1243.99mil","3058mil","1243.99mil","T","270.00","0.1uF"
"C206","CAP0603N","2272.506mil","1637.398mil","2241.01mil","1637.398mil","2241.01mil","1637.398mil","T","0.00","4.7uF"
"C207","CAP0603N","2272.506mil","1576.998mil","2241.01mil","1576.998mil","2241.01mil","1576.998mil","T","0.00","0.1uF"
"C208","CAP0603N","2272.506mil","1516.598mil","2241.01mil","1516.598mil","2241.01mil","1516.598mil","T","0.00","0.1uF"
"C209","CAP0603N","2523.427mil","1212.496mil","2523.427mil","1180.999mil","2523.427mil","1181mil","T","90.00","4.7uF"
"D101","0603_LED","1666.501mil","2291mil","1663mil","2291mil","1633.001mil","2291mil","T","0.00","blue-LED"
"D102","0603_LED","1926.5mil","1883mil","1922.999mil","1883mil","1893mil","1883mil","T","0.00","blue-LED"
